Recency,Frequency,Monetary
325,0,0.0
2,2458,4310.0
75,2332,1437.24
18,630,1457.55
310,196,294.4
36,463,1265.41
204,20,89.0
232,530,1079.4
214,240,459.4
22,1573,2487.43
33,2708,6207.67
1,242,928.0600000000001
7,1599,6182.9800000000005
52,1156,2302.06
287,90,174.9
3,2180,4665.58
109,408,552.0
7,1499,1208.1
291,173,320.69
4,172,150.9
51,2349,3421.94
59,582,1527.96
71,788,1196.04
311,196,324.6
25,339,622.93
2,175,375.42
315,942,1548.12
129,2529,4008.62
81,401,775.29
21,1109,2423.56
4,772,1433.46
184,1515,1617.31
28,117,406.16
337,354,401.9
15,1462,2780.66
79,350,504.84000000000003
21,293,439.66
72,816,1582.6000000000001
63,808,1080.48
15,2092,2662.28
35,1250,2214.9
45,1389,1435.66
119,1173,1033.65
303,10,69.3
323,92,195.6
49,94,391.7
148,849,1390.39
22,1809,3280.75
49,1403,1507.1200000000001
32,1382,2587.57
78,5543,11056.93
301,205,521.08
74,824,1142.88
66,281,676.15
217,297,442.41
24,76946,123638.18
3,1514,3155.8
112,407,668.58
63,345,600.39
15,478,639.04
95,367,683.5600000000001
0,1312,1624.11
162,740,1760.96
78,496,777.2
194,254,510.73
11,229,582.37
25,3477,6366.0
9,1538,3388.4
43,116,216.4
35,2839,6243.89
42,1800,4359.32
0,11071,13375.87
84,373,765.19
79,2055,7829.89
99,209,429.01000000000005
1,2889,4392.66
14,1169,2466.85
366,120,155.55
3,181,144.06
21,1130,4085.46
22,60,77.4
57,351,1002.3100000000001
243,187,431.49
44,240,365.45
22,1523,3596.29
156,128,197.88
10,6454,8893.52
16,181,348.57
134,473,707.09
53,0,5.684341886080802e-14
73,2084,2339.86
44,1601,2553.89
58,686,1597.78
71,502,787.4
154,282,626.88
2,505,872.01
46,751,1165.63
10,95,957.05
7,471,673.89
143,360,652.04
2,7846,16323.52
30,3992,5725.48
53,2323,2545.27
17,4715,6434.7699999999995
53,532,669.38
1,2286,5628.58
22,3620,13117.01
3,233,545.99
3,348,423.3
28,1685,2885.63
22,3248,4998.36
17,1084,1873.13
35,2160,3892.87
9,526,1244.66
336,103,298.93
5,3033,4859.93
38,258,424.40000000000003
63,190,227.21
165,203,362.79
9,682,995.35
81,1231,953.1
21,156,349.70000000000005
23,2660,4023.27
315,1714,1945.68
95,794,2995.87
18,48,59.99999999999999
232,23,73.5
134,874,1006.06
26,271,397.88
284,54,158.5
142,347,814.5699999999999
66,96,132.18
84,453,532.79
267,440,1017.68
353,128,278.7
77,868,1186.06
28,1328,2263.65
0,1306,1840.89
63,172,276.84
79,1414,2294.5099999999998
142,306,545.68
39,192,156.72
1,856,1655.57
9,3669,3945.72
0,624,1172.66
81,233,330.71000000000004
9,734,1634.28
59,891,1461.63
14,45,125.22
30,151,313.83000000000004
130,645,981.18
91,219,716.35
7,2672,4151.26
29,191,363.95
22,2067,5568.35
19,6612,11489.039999999999
29,675,841.18
29,130,299.7
75,517,832.39
46,612,1001.5
197,132,151.79999999999998
166,48,67.19999999999999
79,564,824.83
357,100,168.0
39,85,317.82
8,1901,3238.25
50,355,599.56
16,4384,11990.960000000001
1,0,1.0658141036401503e-14
310,279,500.21000000000004
5,1066,1885.39
302,177,238.85
8,1757,3385.7400000000002
261,130,402.9
281,75,131.17
72,261,292.7
22,4045,8322.94
2,1741,3128.9900000000002
39,523,519.61
8,444,896.72
227,84,160.54000000000002
315,59,182.45000000000002
35,964,1306.98
35,462,560.25
21,1157,2361.36
73,276,374.72
246,236,379.7
39,160,179.71
238,296,351.36
2,4978,6629.34
3,351,1809.95
234,1246,1766.81
17,77,179.94000000000003
7,50,104.0
39,52,174.89999999999998
28,302,574.68
190,4278,9338.38
317,225,368.85
92,288,401.6
108,204,382.09999999999997
37,1772,3208.2200000000003
51,468,450.27
19,2165,3067.13
9,1928,2786.68
29,948,888.58
28,758,2311.04
189,239,479.56
58,162,153.12
79,200,236.18
365,-4,-7.5
58,0,3.552713678800501e-15
78,639,964.85
22,1018,1705.99
52,846,1193.32
57,249,607.59
31,1582,2966.98
277,76,315.6
2,1365,2093.19
85,269,585.25
29,210,352.98
21,95,137.31
16,3337,2908.81
14,1179,1303.41
1,7333,12334.07
232,68,162.1
276,189,269.1
106,351,569.13
211,1563,2362.32
23,3313,5722.35
10,2730,4082.53
4,442,715.61
9,542,1030.88
57,232,480.5
58,1136,1906.63
89,1162,1509.18
67,2974,5790.25
33,573,511.69
238,198,366.1
23,301,994.58
115,71,145.9
25,546,905.26
128,1788,3041.64
129,325,477.91
33,1064,1611.38
4,897,1346.97
22,1387,3093.92
154,159,300.05
107,571,549.71
3,250,242.44000000000003
334,78,114.0
322,495,788.53
148,919,2209.85
10,260,529.98
17,1684,3550.72
11,646,1008.0600000000001
18,317,632.05
29,104,73.68
11,126,227.1
0,2023,3511.08
8,1188,4391.88
324,35,43.75
359,-56,-227.44
58,391,460.13
7,1560,3113.18
150,1104,1427.73
10,1377,2734.15
329,78,225.89999999999998
5,349,574.52
11,1096,1796.26
24,664,1091.39
42,10876,16291.26
52,521,896.67
0,439,790.81
14,7442,12309.59
3,5485,11019.82
4,4850,7357.09
7,1973,2073.63
28,1507,2575.08
371,106,71.14
113,3028,4873.8099999999995
25,622,1139.61
205,103,335.01
28,388,927.8
120,242,686.96
70,503,761.67
7,220,582.1
21,494,739.02
7,2944,4525.99
79,674,725.71
19,52,201.0
64,160,256.7
7,991,1740.84
15,3946,6328.24
291,256,603.42
29,1255,2346.32
3,3792,8959.75
96,842,1004.5699999999999
22,1019,3791.63
0,505,794.55
9,3046,4294.86
106,190,263.36
3,703,963.49
151,502,830.98
71,201,202.25
5,357,536.1
2,4618,5065.28
31,1939,2358.98
85,559,886.33
3,433,707.07
5,439,923.41
371,162,371.8
28,3132,2411.1
10,2056,3425.7
71,413,728.33
113,231,417.01
23,8359,18660.41
179,110,218.26000000000002
234,137,383.95
352,88,110.39999999999999
315,363,689.5699999999999
332,168,144.0
372,147,137.35
99,485,975.54
63,342,427.6
134,315,540.13
56,5234,9120.39
2,1275,4196.01
0,23516,29819.99
3,1421,3818.2
128,137,275.88
81,2262,4366.78
3,11250,21024.01
235,6481,3010.74
249,867,2220.75
86,144,112.07999999999998
15,2375,4161.75
116,2135,2791.59
